description,PI,V,T,parameters
"kla-explore=1-W=2,bootstrap=1",11.000000,-0.099593,15.695215,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",11.000000,2.887296,16.073815,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",11.000000,-0.330102,15.275624,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",11.000000,0.005950,15.659643,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",12.000000,-0.112691,17.030507,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",12.000000,2.428612,17.662893,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",12.000000,0.048973,16.308014,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",12.000000,0.074152,16.922290,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",13.000000,-0.290837,18.413032,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",13.000000,2.510631,18.978078,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",13.000000,-0.051937,17.754880,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",13.000000,-0.050762,18.381734,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",14.000000,0.038583,19.508550,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",14.000000,2.517001,20.135271,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",14.000000,-0.040362,18.928574,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",14.000000,0.109452,19.475023,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",15.000000,-0.097856,20.471487,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",15.000000,2.200311,21.340880,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",15.000000,-0.004253,19.964984,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",15.000000,0.290753,20.458528,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",16.000000,-0.117293,21.617233,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",16.000000,1.908909,22.683459,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",16.000000,0.045685,20.941626,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",16.000000,0.099194,21.576190,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",17.000000,-0.228596,22.783010,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",17.000000,2.505770,23.976983,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",17.000000,-0.012316,22.074373,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",17.000000,0.332173,22.729496,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
